order_id,products
17,None
34,39475 21137 47766 47792
137,24852 38689 41787 23794
182,47672 47209 9337 33000 13629 5479 39275 32109
257,24852 49235 27104
313,13198 21903 46906 45007 12779 28535
353,None
386,15872 38281 45066 39180 24852 47766 42265 37935 40759 21479 22124 30450
414,9755 20392 27845 21709 21230 31730
418,47766 30489 40268 44910
437,45106 49235 365 13176 10132 4589
452,47672 5262 30388 12020 27966 13166 13176 36735 27553 19370 40386 36313 28666
474,None
492,49683 20542 46667 44632 5250 21137 27323 26315 8424 29453 24852 49475 11109 24952 13702 21903 35242 24499 33232 31195
497,39947 27275 1831 31964
513,None
517,44560 48679 9387 39619 8424 37646 28946 24852 25890 9071 13198 21903 13819
604,24852 16797 12099 31720
680,30441 47977 14836
758,19660
759,47766 14651 5612
887,24852 28204 25647
1161,47626 22935
1195,None
1304,45066 24852
1408,1158 47912 31915 16428 10163 46676 43352
1513,None
1564,None
1727,28710 40310 12218
1789,None
1802,34824 3111 46175 26209 11368 47209 31338 39561 21137 20114 34969 37029 28849 1713 41665 43713 37067 21709 8424 42736 2295 11512 24841 46346 33043 13076 42265 43295 3896 4920 13176 890 31612 35221 2979 17830 38313 38837 17871 45007 44514 2024 16874 10749
1809,5258
1810,6182 19660 45007 4862
1867,21386 23785 39275
1932,35417 21616 21903 46485 21405 30668
1962,21873
2034,47626 15950 27104 26209 33527
2070,24852 39322
2102,45004 7252
2184,26914 47209 12020 13176
2247,13176
2267,46088 38569
2297,None
2345,37141 48301 32689 42803
2421,47626 49683 26209 36493 21757 28985 32578 343 8548 3957 5015 16797 12193 11182 26604
2481,24852 36651 29363 27573 30795 28373 47196
2671,47626 13351 38456 35914 47209 22124 36994 21137 2716 30884 6341 30492 4428 42828 33120 13176 25466 21903 432 21938 41950
2721,43772
2806,38511 45190 10957 47031 8644 19953
2887,26283 8518 13249 41950
2990,13176
3013,None
3188,36076 21137 49235 16757 13176
3221,24852 27966 4945 21903 30142
3223,11777 28199 28745 43086 8277 23644 46692 24184 46206 32387 13984 36011 30391 27344 15626 33037 24852 30489 4920 10070 34668 14702 21903 18838 5031 18362 41950 38383 28156
3265,27020 24852 5884
3344,13966 33000 41277
3373,45154
3384,33802 39947 5258 21137 41177
3408,47626 5479
3507,None
3519,None
3587,40332 15424 13287 11885 10613
3702,None
3724,47144 12174 10235
3732,24852 3957
3839,34969 11896
3866,5077
3867,28682
3870,35470 14715
3962,None
3981,24852 22959 25466 25340
4002,29801 23288
4055,14874 47209 27247 45221 7916 20767 11182 25521 31668
4065,5818 9839
4133,47209 39180 13176 31717
4144,39040 2298 27104 31343 41588 21137 25246 21174 39877 5077 27845 29993 5578 48628 28199 46667 7806 5764 30391 22298 10017 42828 36717 24535
4353,38929 16415 46676 39561 5258 45747 27360 45321 49520 48527 21410 13740 44479 47570 46041
4372,22035 27156 2078 48171 3142 49235 21096 31343 19057 15995 18094 24852 18200 46584
4396,27086 49235
4458,46088 44042 48144 43029 16965 36425 5194 26209 44765 16611 43772 26898 29467 33065 5456 22386 9076 12672 45954
4462,385 24748 4313
4551,24852
4579,None
4602,29307 47766 29950 329 21903
4655,35594 21137 39871 13176
4686,24852 37803
4848,None
4917,28601 31562 39001
5007,11759 43154
5011,41276
5041,24852
5058,None
5082,13176
5095,36393 47660 29615 32566 38200 1117 16223
5109,19348 17313 6184 42282 12341 31805 30406 43352 4724 25588 33147
5128,21608
5166,44632 21709 24852
5216,4605
5349,None
5366,10551 47717 47209
5400,36036
5415,42500 6729 5258 37710
5525,22935 27086
5918,None
5921,26209 47209
5989,39040 28289 21903 24852 30233 7963 16797 19057
6067,260 7054 21137 24852 47766 26790 4793 46667 10831 16083 39275 41588 15221
6073,6184
6100,46149
6104,28427 21137
6138,None
6222,6616 43868
6275,38672 37592
6313,47890 19348 24852 44359 7644 44799
6346,42244 19204 37646 21137 47766 21616
6482,42731
6490,None
6506,47209
6530,45066 46906 13176
6533,9762 47141 25146 43772
6535,11844
6645,196 22395 37849
6718,None
6751,13176
6763,20995 48140 30776 3717 47766 34969 27845 6348 24852 30489 28458 4410 24489 48577 24535
6932,22959 36307 44116
6967,48679 27695 49235 19677 30024 45007 31717
7000,37919 30406 49235 9839
7074,21646 20754 22035 14233 42265 33957 37552 4297 35914 37067 8012 19660 42450 47209 21616 17396 46969
7125,None
7187,35470
7213,12341 30162
7298,47144 42585 19578 45763 7419 24852 39238 17352
7370,24852 35871 42160 4920 48190 19660 33754 18656
7373,None
7387,8193 41860 30982 30635 8277 29672
7508,None
7594,None
7617,45066 47626 48679 17461 44632 26209 21616 4605 47766 28842 28849 21681 11440 41149 24253 27344 40706 24841 24852 2326 29993 24964 49075 49114 31712
7669,49683 27845 26604
7671,None
7683,None
7736,7644
7788,4233
7837,14084 47626 5646 27156 24852 3481 18465 25659 27845 45007 44632 26209 39275 26620
7868,22123 37158 24024 13806
7908,39877 36011 47630 19348 24852
7909,1511
7982,23044 30233 8277 44632 38558 35594 30489 5450
8030,None
8038,5785 47141 25691
8041,16415 17461 47209 27845 11520 12107 13176 12674
8111,39427 27730 40723 42265 39275
8156,3243 3765 24852 3583
